text,action,category
Evidence of termites in the wooden furniture.,Pest Control Investigation,Rooms
Water looked stagnant and dirty.,Pool Maintenance,Recreation
Review: Glass had lipstick marks on it.,Inspect Kitchen Hygiene,Food
Review: Gym is too small for the number of guests.,Update Gym Equipment,Recreation
they demanded a cash deposit unexpectedly.,Review Check-in Process,Services
Not happy. Staff member was smoking right outside the lobby door.,Disciplinary Action,Services
security guard was sleeping on the job.,Disciplinary Action,Services
"Honestly, lizard on the ceiling.",Pest Control Investigation,Rooms
Charged 5 stars price for 1 star food.,Compensate Guest,Food
The TV is tiny and has no channels.,Upgrade Room Amenities,Rooms
Action needed: I found a hair in my food.,Inspect Kitchen Hygiene,Food
Action needed: Asked for no onions but got onions anyway.,Staff Training (Food),Food
They demanded a cash deposit unexpectedly. Terrible.,Review Check-in Process,Services
Action needed: Priority check-in for members was not honored.,Review Check-in Process,Services
The server was rude when I asked for water. Terrible.,Staff Training (Food),Food
Feedback: Cockroach in the shower.,Pest Control Investigation,Rooms
Saw ants marching across the bathroom sink. Terrible.,Pest Control Investigation,Rooms
Lifeguard was on their phone the whole time.,Recreation Staff Review,Recreation
Feedback: Evidence of termites in the wooden furniture.,Pest Control Investigation,Rooms
Action needed: Food was cold when it arrived at the table.,Revise Menu Quality,Food
Not happy. Waiters were ignoring us and chatting among themselves.,Staff Training (Food),Food
"Honestly, asked for no onions but got onions anyway.",Staff Training (Food),Food
Action needed: Staff member was smoking right outside the lobby door.,Disciplinary Action,Services
Feedback: Lizard on the ceiling.,Pest Control Investigation,Rooms
"Action needed: Need better lighting, the room is too dim.",Upgrade Room Amenities,Rooms
the bill included a service charge that was not mentioned.,Compensate Guest,Food
"Action needed: We waited 2 hours for our food, this is unacceptable.",Compensate Guest,Food
gym is too small for the number of guests.,Update Gym Equipment,Recreation
Hygiene standards in the restaurant seem very low. Terrible.,Inspect Kitchen Hygiene,Food
"Honestly, they lost our reservation even though we booked weeks ago.",Compensate Guest,Food
"Honestly, need better lighting, the room is too dim.",Upgrade Room Amenities,Rooms
Feedback: They couldn't find my booking in the system.,Review Check-in Process,Services
"Honestly, staff didn't know the ingredients of the dishes.",Staff Training (Food),Food
i think i saw a mouse behind the curtain.,Pest Control Investigation,Rooms
Action needed: Bike seat is broken.,Update Gym Equipment,Recreation
The room smelled like stale cigarette smoke. Terrible.,Deep Clean & Maintenance,Rooms
Action needed: Lifeguard was on their phone the whole time.,Recreation Staff Review,Recreation
Feedback: There was a spider on the pillow.,Pest Control Investigation,Rooms
"Honestly, curtains were dusty and triggered my allergies.",Deep Clean & Maintenance,Rooms
Review: There was a spider on the pillow.,Pest Control Investigation,Rooms
"pool was freezing cold, heater broken.",Pool Maintenance,Recreation
beach staff demanded tips for chairs.,Recreation Staff Review,Recreation
Review: Lobby is chaotic and disorganized.,Review Check-in Process,Services
Feedback: Pool shower wasn't working.,Pool Maintenance,Recreation
scum line around the edge of the pool.,Pool Maintenance,Recreation
Not happy. Tour guide gave us incorrect historical info.,Recreation Staff Review,Recreation
"Honestly, they refused to accept my voucher.",Compensate Guest,Food
"Honestly, the pillows are lumpy and uncomfortable.",Upgrade Room Amenities,Rooms
"Honestly, we waited 2 hours for our food, this is unacceptable.",Compensate Guest,Food
Not happy. Staff was arguing loudly in the hallway.,Disciplinary Action,Services
Feedback: Bellboy didn't explain how to use the key card.,Staff Communication Training,Services
Not happy. The waiter spilled soup on me and didn't apologize.,Staff Training (Food),Food
Review: I got food poisoning after eating the seafood.,Inspect Kitchen Hygiene,Food
Review: Gym equipment is ancient and rusty.,Update Gym Equipment,Recreation
bed bugs bit me all over my legs.,Pest Control Investigation,Rooms
the carpet was stained and smelled of mold.,Deep Clean & Maintenance,Rooms
Feedback: Treadmills were all out of order.,Update Gym Equipment,Recreation
Staff member laughed at my complaint.,Disciplinary Action,Services
Feedback: I found a hair in my food.,Inspect Kitchen Hygiene,Food
"Honestly, they refused to accept my voucher.",Compensate Guest,Food
Feedback: Everything tastes like frozen food reheated.,Revise Menu Quality,Food
The plates were dirty and had leftover food stains.,Inspect Kitchen Hygiene,Food
The toilet wasn't flushed when we arrived.,Deep Clean & Maintenance,Rooms
They demanded a cash deposit unexpectedly. Terrible.,Review Check-in Process,Services
"Worst dining experience ever, I expect compensation. Terrible.",Compensate Guest,Food
"Action needed: Dust everywhere, especially under the bed.",Deep Clean & Maintenance,Rooms
"Honestly, the server was rude when i asked for water.",Staff Training (Food),Food
"Honestly, i got food poisoning after eating the seafood.",Inspect Kitchen Hygiene,Food
Not happy. The buffet area looked unclean and messy.,Inspect Kitchen Hygiene,Food
No one came to clear our table for 30 minutes.,Staff Training (Food),Food
Review: Staff didn't know the ingredients of the dishes.,Staff Training (Food),Food
Review: They forgot to give us our wake-up call.,Staff Communication Training,Services
"Not happy. Towels are thin, scratchy, and old.",Upgrade Room Amenities,Rooms
"Honestly, the room is infested with insects.",Pest Control Investigation,Rooms
"Honestly, the gym smells like sweat, no ventilation.",Update Gym Equipment,Recreation
Action needed: No iron or ironing board in the room.,Upgrade Room Amenities,Rooms
Review: Lifeguard was on their phone the whole time.,Recreation Staff Review,Recreation
Review: No one told us about the construction noise.,Staff Communication Training,Services
Review: It took 45 minutes just to check in.,Review Check-in Process,Services
Review: Employee was on their phone ignoring guests.,Disciplinary Action,Services
"Action needed: Pool was freezing cold, heater broken.",Pool Maintenance,Recreation
Not happy. They couldn't find my booking in the system.,Review Check-in Process,Services
"Review: Too much chlorine in the pool, burned my eyes.",Pool Maintenance,Recreation
water looked stagnant and dirty.,Pool Maintenance,Recreation
Review: Unprofessional behavior from the night manager.,Disciplinary Action,Services
the coffee was burnt and bitter.,Revise Menu Quality,Food
the server was rude when i asked for water.,Staff Training (Food),Food
Action needed: Tennis coach didn't show up for the lesson.,Recreation Staff Review,Recreation
Tour guide gave us incorrect historical info.,Recreation Staff Review,Recreation
Feedback: Found trash from previous guests in the drawer.,Deep Clean & Maintenance,Rooms
Action needed:  Filtration system was making a loud noise.,Pool Maintenance,Recreation
Priority check-in for members was not honored. Terrible.,Review Check-in Process,Services
Feedback: I think I saw a mouse behind the curtain.,Pest Control Investigation,Rooms
They forgot to give us our wake-up call.,Staff Communication Training,Services
Hygiene standards in the restaurant seem very low.,Inspect Kitchen Hygiene,Food
"Review: Staff speaks very poor English, hard to communicate.",Staff Communication Training,Services
Beach staff demanded tips for chairs. Terrible.,Recreation Staff Review,Recreation
I want a refund for this terrible meal.,Compensate Guest,Food
Lobby is chaotic and disorganized. Terrible.,Review Check-in Process,Services
There was a strange object in the soup.,Inspect Kitchen Hygiene,Food
The pool water was cloudy and green.,Pool Maintenance,Recreation
Mosquitoes in the room kept me up all night. Terrible.,Pest Control Investigation,Rooms
staff member laughed at my complaint.,Disciplinary Action,Services
"Not happy. Key cards didn't work, had to go back down.",Review Check-in Process,Services
Not happy. Cockroach in the shower.,Pest Control Investigation,Rooms
Review: The plates were dirty and had leftover food stains.,Inspect Kitchen Hygiene,Food
Kids club staff seemed bored and inattentive.,Recreation Staff Review,Recreation
The room smelled like stale cigarette smoke. Terrible.,Deep Clean & Maintenance,Rooms
Review: The pool water was cloudy and green.,Pool Maintenance,Recreation
cable machine is stuck and dangerous.,Update Gym Equipment,Recreation
"Review: Towels are thin, scratchy, and old.",Upgrade Room Amenities,Rooms
Not happy. No iron or ironing board in the room.,Upgrade Room Amenities,Rooms
I think I saw a mouse behind the curtain. Terrible.,Pest Control Investigation,Rooms
Asked for no onions but got onions anyway.,Staff Training (Food),Food
Feedback: They charged us for items we didn't order.,Compensate Guest,Food
The plates were dirty and had leftover food stains. Terrible.,Inspect Kitchen Hygiene,Food
"Action needed: Need better lighting, the room is too dim.",Upgrade Room Amenities,Rooms
Action needed: Tiles around the pool are broken and sharp.,Pool Maintenance,Recreation
"Honestly, food was cold when it arrived at the table.",Revise Menu Quality,Food
"Honestly, staff didn't know the ingredients of the dishes.",Staff Training (Food),Food
Not happy. Saw ants marching across the bathroom sink.,Pest Control Investigation,Rooms
Feedback: Not enough weights for a proper workout.,Update Gym Equipment,Recreation
Review: They refused to accept my voucher.,Compensate Guest,Food
Glass had lipstick marks on it. Terrible.,Inspect Kitchen Hygiene,Food
Not happy. There was a spider on the pillow.,Pest Control Investigation,Rooms
"Not happy. Worst dining experience ever, I expect compensation.",Compensate Guest,Food
"Honestly, the carpet was stained and smelled of mold.",Deep Clean & Maintenance,Rooms
Review: Staff was arguing loudly in the hallway.,Disciplinary Action,Services
Action needed: The presentation of the dishes was poor.,Revise Menu Quality,Food
"Honestly, security guard was sleeping on the job.",Disciplinary Action,Services
Air conditioner is loud and barely cools the room. Terrible.,Upgrade Room Amenities,Rooms
Review: Not enough vegetarian or vegan options.,Revise Menu Quality,Food
Review: No one came to clear our table for 30 minutes.,Staff Training (Food),Food
Not happy. Mosquitoes in the room kept me up all night.,Pest Control Investigation,Rooms
Review: No iron or ironing board in the room.,Upgrade Room Amenities,Rooms
"Honestly, treadmills were all out of order.",Update Gym Equipment,Recreation
the steak was tough and flavorless.,Revise Menu Quality,Food
Feedback: I got food poisoning after eating the seafood.,Inspect Kitchen Hygiene,Food
Action needed: The concierge made a rude comment about my appearance.,Disciplinary Action,Services
Review: Tennis coach didn't show up for the lesson.,Recreation Staff Review,Recreation
Feedback: The furniture is worn out and chipped.,Upgrade Room Amenities,Rooms
Review: The carpet was stained and smelled of mold.,Deep Clean & Maintenance,Rooms
Feedback: The bathroom tiles had mold in the grout.,Deep Clean & Maintenance,Rooms
Action needed: Minibar was empty and not working.,Upgrade Room Amenities,Rooms
Not happy. There was a strange object in the soup.,Inspect Kitchen Hygiene,Food
Action needed: The concierge made a rude comment about my appearance.,Disciplinary Action,Services
Not happy. Staff seemed confused by the check-in software.,Review Check-in Process,Services
"Need better lighting, the room is too dim. Terrible.",Upgrade Room Amenities,Rooms
Water looked stagnant and dirty.,Pool Maintenance,Recreation
pool attendant refused to give me a towel.,Recreation Staff Review,Recreation
Review: Bike seat is broken.,Update Gym Equipment,Recreation
Action needed: Elliptical machine makes a squeaking sound.,Update Gym Equipment,Recreation
Kids club staff seemed bored and inattentive. Terrible.,Recreation Staff Review,Recreation
Review: Evidence of termites in the wooden furniture.,Pest Control Investigation,Rooms
Action needed: They couldn't find my booking in the system.,Review Check-in Process,Services
Pool attendant refused to give me a towel.,Recreation Staff Review,Recreation
called reception but no one answered the phone.,Staff Communication Training,Services
Lobby is chaotic and disorganized. Terrible.,Review Check-in Process,Services
Valet scratched my car and denied it.,Disciplinary Action,Services
Found trash from previous guests in the drawer.,Deep Clean & Maintenance,Rooms
Not happy. Spa therapist was chatting during the massage.,Recreation Staff Review,Recreation
the toilet wasn't flushed when we arrived.,Deep Clean & Maintenance,Rooms
"Honestly, gym is too small for the number of guests.",Update Gym Equipment,Recreation
Feedback: Everything tastes like frozen food reheated.,Revise Menu Quality,Food
Review: Scum line around the edge of the pool.,Pool Maintenance,Recreation
Action needed: No supervision in the children's play area.,Recreation Staff Review,Recreation
Front desk staff gave us wrong information about breakfast.,Staff Communication Training,Services
Review: Not enough vegetarian or vegan options.,Revise Menu Quality,Food
Housekeeper stole money from my wallet.,Disciplinary Action,Services
employee was on their phone ignoring guests.,Disciplinary Action,Services
Not happy. Food was cold when it arrived at the table.,Revise Menu Quality,Food
Feedback: Check-in line was huge and only one counter open.,Review Check-in Process,Services
Feedback: The carpet was stained and smelled of mold.,Deep Clean & Maintenance,Rooms
Not happy. Pool attendant refused to give me a towel.,Recreation Staff Review,Recreation
"Honestly, everything tastes like frozen food reheated.",Revise Menu Quality,Food
Conflicting information from different staff members. Terrible.,Staff Communication Training,Services
Pool attendant refused to give me a towel. Terrible.,Recreation Staff Review,Recreation
Debris and leaves floating in the water. Terrible.,Pool Maintenance,Recreation
Saw ants marching across the bathroom sink.,Pest Control Investigation,Rooms
"dust everywhere, especially under the bed.",Deep Clean & Maintenance,Rooms
front desk staff gave us wrong information about breakfast.,Staff Communication Training,Services
Not happy. Our anniversary dinner was ruined by the terrible service.,Compensate Guest,Food
Feedback: Curtains were dusty and triggered my allergies.,Deep Clean & Maintenance,Rooms
Not happy. The menu options are very limited and boring.,Revise Menu Quality,Food
Asked for no onions but got onions anyway.,Staff Training (Food),Food
no iron or ironing board in the room.,Upgrade Room Amenities,Rooms
Action needed: Dead bugs on the windowsill.,Deep Clean & Maintenance,Rooms
the toilet wasn't flushed when we arrived.,Deep Clean & Maintenance,Rooms
Not happy. Tiles around the pool are broken and sharp.,Pool Maintenance,Recreation
Feedback: Called reception but no one answered the phone.,Staff Communication Training,Services
"Honestly, the gym smells like sweat, no ventilation.",Update Gym Equipment,Recreation
"Honestly, staff member was smoking right outside the lobby door.",Disciplinary Action,Services
"Honestly, dust everywhere, especially under the bed.",Deep Clean & Maintenance,Rooms
Conflicting information from different staff members. Terrible.,Staff Communication Training,Services
"we waited 2 hours for our food, this is unacceptable.",Compensate Guest,Food
Feedback: I think I saw a mouse behind the curtain.,Pest Control Investigation,Rooms
Review: Room wasn't ready at 4 PM check-in time.,Review Check-in Process,Services
Not happy. Activity director was rude to the guests.,Recreation Staff Review,Recreation
the pillows are lumpy and uncomfortable.,Upgrade Room Amenities,Rooms
Action needed: Employee was on their phone ignoring guests.,Disciplinary Action,Services
"Honestly, wifi signal is too weak to work in the room.",Upgrade Room Amenities,Rooms
Not happy. No one told us about the construction noise.,Staff Communication Training,Services
Not happy. Not enough weights for a proper workout.,Update Gym Equipment,Recreation
Action needed:  Filtration system was making a loud noise.,Pool Maintenance,Recreation
"Honestly, unprofessional behavior from the night manager.",Disciplinary Action,Services
Not happy. Glass had lipstick marks on it.,Inspect Kitchen Hygiene,Food
Action needed: The bathroom tiles had mold in the grout.,Deep Clean & Maintenance,Rooms
Feedback: Water looked stagnant and dirty.,Pool Maintenance,Recreation
Not happy. Cockroach in the shower.,Pest Control Investigation,Rooms
"Need better lighting, the room is too dim.",Upgrade Room Amenities,Rooms
The coffee was burnt and bitter. Terrible.,Revise Menu Quality,Food
"Honestly, the furniture is worn out and chipped.",Upgrade Room Amenities,Rooms
"Honestly, staff speaks very poor english, hard to communicate.",Staff Communication Training,Services
"Review: Worst dining experience ever, I expect compensation.",Compensate Guest,Food
Curtains were dusty and triggered my allergies.,Deep Clean & Maintenance,Rooms
System crashed during check-in.,Review Check-in Process,Services
Review: The room smelled like stale cigarette smoke.,Deep Clean & Maintenance,Rooms
Review: Bed bugs bit me all over my legs.,Pest Control Investigation,Rooms
Feedback: Elliptical machine makes a squeaking sound.,Update Gym Equipment,Recreation
"Honestly, hygiene standards in the restaurant seem very low.",Inspect Kitchen Hygiene,Food
the presentation of the dishes was poor.,Revise Menu Quality,Food
pool ladders are loose and dangerous.,Pool Maintenance,Recreation
Not happy. Valet scratched my car and denied it.,Disciplinary Action,Services
"Honestly, treadmills were all out of order.",Update Gym Equipment,Recreation
"Honestly, the concierge made a rude comment about my appearance.",Disciplinary Action,Services
Staff seemed confused by the check-in software. Terrible.,Review Check-in Process,Services
"Honestly, saw a cockroach near the kitchen entrance.",Inspect Kitchen Hygiene,Food
Action needed: We were promised a complimentary drink but never got it.,Compensate Guest,Food
Action needed: Air conditioner is loud and barely cools the room.,Upgrade Room Amenities,Rooms
"Honestly, they forgot to give us our wake-up call.",Staff Communication Training,Services
"Honestly, curtains were dusty and triggered my allergies.",Deep Clean & Maintenance,Rooms
Action needed: Bellboy didn't explain how to use the key card.,Staff Communication Training,Services
Review: The plates were dirty and had leftover food stains.,Inspect Kitchen Hygiene,Food
The concierge made a rude comment about my appearance.,Disciplinary Action,Services
Beach staff demanded tips for chairs. Terrible.,Recreation Staff Review,Recreation
Review: Staff member was smoking right outside the lobby door.,Disciplinary Action,Services
Not happy. Evidence of termites in the wooden furniture.,Pest Control Investigation,Rooms
Review: Our anniversary dinner was ruined by the terrible service.,Compensate Guest,Food
Review: We were promised a complimentary drink but never got it.,Compensate Guest,Food
Review: The concierge made a rude comment about my appearance.,Disciplinary Action,Services
Tennis coach didn't show up for the lesson. Terrible.,Recreation Staff Review,Recreation
Not happy. Hygiene standards in the restaurant seem very low.,Inspect Kitchen Hygiene,Food
The room smelled like stale cigarette smoke.,Deep Clean & Maintenance,Rooms
Food was cold when it arrived at the table.,Revise Menu Quality,Food
bartender was visibly drunk.,Disciplinary Action,Services
"Honestly, tiles around the pool are broken and sharp.",Pool Maintenance,Recreation
Mosquitoes in the room kept me up all night.,Pest Control Investigation,Rooms
"Honestly, tennis coach didn't show up for the lesson.",Recreation Staff Review,Recreation
Hygiene standards in the restaurant seem very low. Terrible.,Inspect Kitchen Hygiene,Food
the sheets had spots and didn't look fresh.,Deep Clean & Maintenance,Rooms
Action needed: The presentation of the dishes was poor.,Revise Menu Quality,Food
Not happy. They couldn't find my booking in the system.,Review Check-in Process,Services
"The gym smells like sweat, no ventilation. Terrible.",Update Gym Equipment,Recreation
Minibar was empty and not working. Terrible.,Upgrade Room Amenities,Rooms
Action needed: Lobby is chaotic and disorganized.,Review Check-in Process,Services
It took 45 minutes just to check in.,Review Check-in Process,Services
Action needed: The bathroom tiles had mold in the grout.,Deep Clean & Maintenance,Rooms
Action needed: The hostess was welcoming but the servers were grumpy.,Staff Training (Food),Food
Action needed: Called reception but no one answered the phone.,Staff Communication Training,Services
Feedback: Staff got my order wrong three times.,Staff Training (Food),Food
Saw a cockroach near the kitchen entrance.,Inspect Kitchen Hygiene,Food
Bed bugs bit me all over my legs.,Pest Control Investigation,Rooms
Review: The menu options are very limited and boring.,Revise Menu Quality,Food
Action needed: The carpet was stained and smelled of mold.,Deep Clean & Maintenance,Rooms
Action needed: Tour guide gave us incorrect historical info.,Recreation Staff Review,Recreation
Feedback: Security guard was sleeping on the job.,Disciplinary Action,Services
"Honestly, no supervision in the children's play area.",Recreation Staff Review,Recreation
Review: Minibar was empty and not working.,Upgrade Room Amenities,Rooms
Review: Check-in line was huge and only one counter open.,Review Check-in Process,Services
Action needed: Staff got my order wrong three times.,Staff Training (Food),Food
The plates were dirty and had leftover food stains. Terrible.,Inspect Kitchen Hygiene,Food
"Honestly, staff didn't know the ingredients of the dishes.",Staff Training (Food),Food
Review: Curtains were dusty and triggered my allergies.,Deep Clean & Maintenance,Rooms
Review: Check-in line was huge and only one counter open.,Review Check-in Process,Services
Action needed: No one came to clear our table for 30 minutes.,Staff Training (Food),Food
Action needed: Staff seemed confused by the check-in software.,Review Check-in Process,Services
It took 45 minutes just to check in. Terrible.,Review Check-in Process,Services
Misunderstanding about the room rate caused issues. Terrible.,Staff Communication Training,Services
"Honestly, front desk staff gave us wrong information about breakfast.",Staff Communication Training,Services
Action needed: Asked for no onions but got onions anyway.,Staff Training (Food),Food
Review: There was a spider on the pillow.,Pest Control Investigation,Rooms
"Honestly, food was cold when it arrived at the table.",Revise Menu Quality,Food
Service in the restaurant was incredibly slow. Terrible.,Staff Training (Food),Food
Kids club staff seemed bored and inattentive. Terrible.,Recreation Staff Review,Recreation
Action needed: Tiles around the pool are broken and sharp.,Pool Maintenance,Recreation
"the gym smells like sweat, no ventilation.",Update Gym Equipment,Recreation
"Not happy. Dust everywhere, especially under the bed.",Deep Clean & Maintenance,Rooms
Spa therapist was chatting during the massage.,Recreation Staff Review,Recreation
Minibar was empty and not working.,Upgrade Room Amenities,Rooms
I think I saw a mouse behind the curtain.,Pest Control Investigation,Rooms
Not happy. Spa therapist was chatting during the massage.,Recreation Staff Review,Recreation
Not happy. Charged 5 stars price for 1 star food.,Compensate Guest,Food
Review: Not enough weights for a proper workout.,Update Gym Equipment,Recreation
The salad was wilted and brown. Terrible.,Inspect Kitchen Hygiene,Food
Gym is too small for the number of guests. Terrible.,Update Gym Equipment,Recreation
Staff was arguing loudly in the hallway.,Disciplinary Action,Services
the hostess was welcoming but the servers were grumpy.,Staff Training (Food),Food
Action needed: The bill included a service charge that was not mentioned.,Compensate Guest,Food
Action needed: Tiles around the pool are broken and sharp.,Pool Maintenance,Recreation
Review: Our anniversary dinner was ruined by the terrible service.,Compensate Guest,Food
Not happy. Bed bugs bit me all over my legs.,Pest Control Investigation,Rooms
"Honestly, food was cold when it arrived at the table.",Revise Menu Quality,Food
Action needed: Staff got my order wrong three times.,Staff Training (Food),Food
The food tasted slightly spoiled and smelled bad. Terrible.,Inspect Kitchen Hygiene,Food
"Action needed: Pool was freezing cold, heater broken.",Pool Maintenance,Recreation
Activity director was rude to the guests.,Recreation Staff Review,Recreation
The salad was wilted and brown. Terrible.,Inspect Kitchen Hygiene,Food
Not happy. Spa therapist was chatting during the massage.,Recreation Staff Review,Recreation
"Honestly, no supervision in the children's play area.",Recreation Staff Review,Recreation
Feedback: Security guard was sleeping on the job.,Disciplinary Action,Services
No one told us about the construction noise. Terrible.,Staff Communication Training,Services
Not happy. Scum line around the edge of the pool.,Pool Maintenance,Recreation
Not enough weights for a proper workout.,Update Gym Equipment,Recreation
Not happy. No iron or ironing board in the room.,Upgrade Room Amenities,Rooms
I want a refund for this terrible meal.,Compensate Guest,Food
Feedback: Flies buzzing around the room constantly.,Pest Control Investigation,Rooms
Unprofessional behavior from the night manager. Terrible.,Disciplinary Action,Services
Action needed: The menu options are very limited and boring.,Revise Menu Quality,Food
Entertainment team was low energy and boring.,Recreation Staff Review,Recreation
Not happy. Tiles around the pool are broken and sharp.,Pool Maintenance,Recreation
flies buzzing around the room constantly.,Pest Control Investigation,Rooms
Review: Gym is too small for the number of guests.,Update Gym Equipment,Recreation
Feedback: The room smelled like stale cigarette smoke.,Deep Clean & Maintenance,Rooms
Not happy. It took 45 minutes just to check in.,Review Check-in Process,Services
Review: Saw ants marching across the bathroom sink.,Pest Control Investigation,Rooms
Bike seat is broken. Terrible.,Update Gym Equipment,Recreation
"Pool was freezing cold, heater broken. Terrible.",Pool Maintenance,Recreation
Review: The server was rude when I asked for water.,Staff Training (Food),Food
They demanded a cash deposit unexpectedly.,Review Check-in Process,Services
Feedback: Entertainment team was low energy and boring.,Recreation Staff Review,Recreation
Feedback: The menu options are very limited and boring.,Revise Menu Quality,Food
Review: The presentation of the dishes was poor.,Revise Menu Quality,Food
Action needed: Valet scratched my car and denied it.,Disciplinary Action,Services
Lifeguard was on their phone the whole time. Terrible.,Recreation Staff Review,Recreation
Not happy. Lobby is chaotic and disorganized.,Review Check-in Process,Services
the hairdryer provided is useless and overheating.,Upgrade Room Amenities,Rooms
"Honestly, system crashed during check-in.",Review Check-in Process,Services
Action needed: Called reception but no one answered the phone.,Staff Communication Training,Services
"Honestly, pool was freezing cold, heater broken.",Pool Maintenance,Recreation
The bathroom tiles had mold in the grout. Terrible.,Deep Clean & Maintenance,Rooms
"Worst dining experience ever, I expect compensation. Terrible.",Compensate Guest,Food
Feedback: Debris and leaves floating in the water.,Pool Maintenance,Recreation
Action needed: Seasonal dishes listed on the menu were not available.,Revise Menu Quality,Food
"Honestly, too much chlorine in the pool, burned my eyes.",Pool Maintenance,Recreation
Review: The room is infested with insects.,Pest Control Investigation,Rooms
Review: The steak was tough and flavorless.,Revise Menu Quality,Food
room wasn't ready at 4 pm check-in time.,Review Check-in Process,Services
Room wasn't ready at 4 PM check-in time.,Review Check-in Process,Services
Water looked stagnant and dirty. Terrible.,Pool Maintenance,Recreation
Feedback: There was a strange object in the soup.,Inspect Kitchen Hygiene,Food
Dead bugs on the windowsill.,Deep Clean & Maintenance,Rooms
Review: The salad was wilted and brown.,Inspect Kitchen Hygiene,Food
Not happy. Lobby is chaotic and disorganized.,Review Check-in Process,Services
Feedback: Not enough vegetarian or vegan options.,Revise Menu Quality,Food
Action needed: The pool water was cloudy and green.,Pool Maintenance,Recreation
"Honestly, our anniversary dinner was ruined by the terrible service.",Compensate Guest,Food
Dead bugs on the windowsill.,Deep Clean & Maintenance,Rooms
Action needed: Seasonal dishes listed on the menu were not available.,Revise Menu Quality,Food
The bathroom tiles had mold in the grout. Terrible.,Deep Clean & Maintenance,Rooms
Feedback: Treadmills were all out of order.,Update Gym Equipment,Recreation
Not happy. I found a hair in my food.,Inspect Kitchen Hygiene,Food
"Staff speaks very poor English, hard to communicate.",Staff Communication Training,Services
"Honestly, the menu options are very limited and boring.",Revise Menu Quality,Food
Feedback: They refused to accept my voucher.,Compensate Guest,Food
Not happy. Debris and leaves floating in the water.,Pool Maintenance,Recreation
Housekeeper stole money from my wallet. Terrible.,Disciplinary Action,Services
Feedback: Waiters were ignoring us and chatting among themselves.,Staff Training (Food),Food
hygiene standards in the restaurant seem very low.,Inspect Kitchen Hygiene,Food
Saw a cockroach near the kitchen entrance. Terrible.,Inspect Kitchen Hygiene,Food
Not happy. Waiters were ignoring us and chatting among themselves.,Staff Training (Food),Food
"Honestly, the presentation of the dishes was poor.",Revise Menu Quality,Food
Our anniversary dinner was ruined by the terrible service. Terrible.,Compensate Guest,Food
"Honestly, tennis coach didn't show up for the lesson.",Recreation Staff Review,Recreation
"Honestly, elliptical machine makes a squeaking sound.",Update Gym Equipment,Recreation
Feedback: Misunderstanding about the room rate caused issues.,Staff Communication Training,Services
the menu options are very limited and boring.,Revise Menu Quality,Food
Feedback: The concierge made a rude comment about my appearance.,Disciplinary Action,Services
The room is infested with insects.,Pest Control Investigation,Rooms
"pool was freezing cold, heater broken.",Pool Maintenance,Recreation
"Honestly, conflicting information from different staff members.",Staff Communication Training,Services
Review: The pool water was cloudy and green.,Pool Maintenance,Recreation
Action needed: Gym is too small for the number of guests.,Update Gym Equipment,Recreation
Action needed: They lost our reservation even though we booked weeks ago.,Compensate Guest,Food
Action needed: Windows were dirty and hard to see through.,Deep Clean & Maintenance,Rooms
Action needed: I found a hair in my food.,Inspect Kitchen Hygiene,Food
They didn't tell us the pool was under maintenance.,Staff Communication Training,Services
Feedback: Asked for no onions but got onions anyway.,Staff Training (Food),Food
Action needed: The bathroom tiles had mold in the grout.,Deep Clean & Maintenance,Rooms
"Honestly, the waiter spilled soup on me and didn't apologize.",Staff Training (Food),Food
Review: Check-in line was huge and only one counter open.,Review Check-in Process,Services
Review: Employee was on their phone ignoring guests.,Disciplinary Action,Services
Valet scratched my car and denied it.,Disciplinary Action,Services
"Action needed: We waited 2 hours for our food, this is unacceptable.",Compensate Guest,Food
Not happy. The salad was wilted and brown.,Inspect Kitchen Hygiene,Food
"Honestly, staff member laughed at my complaint.",Disciplinary Action,Services
Action needed: Restaurant manager was shouting at the staff.,Staff Training (Food),Food
"Honestly, saw ants marching across the bathroom sink.",Pest Control Investigation,Rooms
Action needed: The food tasted slightly spoiled and smelled bad.,Inspect Kitchen Hygiene,Food
mosquitoes in the room kept me up all night.,Pest Control Investigation,Rooms
Not happy. Dead bugs on the windowsill.,Deep Clean & Maintenance,Rooms
service in the restaurant was incredibly slow.,Staff Training (Food),Food
Not happy. Not enough vegetarian or vegan options.,Revise Menu Quality,Food
"Honestly, air conditioner is loud and barely cools the room.",Upgrade Room Amenities,Rooms
"Honestly, the server was rude when i asked for water.",Staff Training (Food),Food
Review: The dessert was stale and dry.,Revise Menu Quality,Food
dead bugs on the windowsill.,Deep Clean & Maintenance,Rooms
"Not happy. Pool was freezing cold, heater broken.",Pool Maintenance,Recreation
Review: WiFi signal is too weak to work in the room.,Upgrade Room Amenities,Rooms
"Honestly, staff was arguing loudly in the hallway.",Disciplinary Action,Services
Review: Pool shower wasn't working.,Pool Maintenance,Recreation
Not happy. Water looked stagnant and dirty.,Pool Maintenance,Recreation
"Honestly, bartender was visibly drunk.",Disciplinary Action,Services
Staff member was smoking right outside the lobby door.,Disciplinary Action,Services
the room smelled like stale cigarette smoke.,Deep Clean & Maintenance,Rooms
Not happy. Cockroach in the shower.,Pest Control Investigation,Rooms
Feedback: Tennis coach didn't show up for the lesson.,Recreation Staff Review,Recreation
Bartender was visibly drunk.,Disciplinary Action,Services
